case_id,solver,status,shape,Re,dy,eps,seed,attempts,elapsed_s,error,probes_csv,metadata_json,n_probes,probe_x,probe_y_min,probe_y_max,dt,n_samples,t_start,t_end,wake_frames_npz,wake_field_npz
airfoil_Re100_p00,synthetic,success,airfoil,100,0.02965756008882671,-0.019867588695395857,1183322625,1,0.1531,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re100_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re100_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,3806,0.0,38.05,wake_frames.npz,
airfoil_Re100_p01,synthetic,success,airfoil,100,-0.026789918769516727,-0.027701152171796126,252416377,1,0.1506,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re100_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re100_p01/metadata.json,32,10.0,0.015625,0.984375,0.01,3661,0.0,36.6,wake_frames.npz,
airfoil_Re200_p00,synthetic,success,airfoil,200,-0.018202500539721396,-0.014827310961559186,1324529163,1,0.1426,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re200_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re200_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,3427,0.0,34.26,wake_frames.npz,
airfoil_Re200_p01,synthetic,success,airfoil,200,0.01972357234170337,-0.021831498974238698,1495389377,1,0.1424,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re200_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re200_p01/metadata.json,32,10.0,0.015625,0.984375,0.01,3507,0.0,35.06,wake_frames.npz,
airfoil_Re300_p00,synthetic,success,airfoil,300,0.02239526577187674,-0.03210821580538788,1634271357,1,0.1489,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re300_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re300_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,3715,0.0,37.14,wake_frames.npz,
airfoil_Re300_p01,synthetic,success,airfoil,300,-0.008944536770810446,0.032557203706173585,441339882,1,0.1512,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re300_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re300_p01/metadata.json,32,10.0,0.015625,0.984375,0.01,3829,0.0,38.28,wake_frames.npz,
bar_Re100_p00,synthetic,success,bar,100,-0.008491870337663604,0.028647223258977457,2002046236,1,0.1999,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re100_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re100_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,5506,0.0,55.05,wake_frames.npz,
bar_Re100_p01,synthetic,success,bar,100,-0.026462532270751963,0.013090683667788134,101464161,1,0.2154,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re100_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re100_p01/metadata.json,32,10.0,0.015625,0.984375,0.01,5948,0.0,59.47,wake_frames.npz,
bar_Re200_p00,synthetic,success,bar,200,0.005466589867676251,-0.0063018627565769635,648727595,1,0.1982,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re200_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re200_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,5475,0.0,54.739999999999995,wake_frames.npz,
bar_Re200_p01,synthetic,success,bar,200,-0.009897758997144405,0.011602456848351674,1788294046,1,0.196,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re200_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re200_p01/metadata.json,32,10.0,0.015625,0.984375,0.01,5338,0.0,53.370000000000005,wake_frames.npz,
bar_Re300_p00,synthetic,success,bar,300,-0.01709589530232992,-0.007855316409472053,1012066989,1,0.1886,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re300_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re300_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,5040,0.0,50.39,wake_frames.npz,
bar_Re300_p01,synthetic,success,bar,300,-0.0014533690334837257,-0.030879637067651955,1555460223,1,0.2014,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re300_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re300_p01/metadata.json,32,10.0,0.015625,0.984375,0.01,5404,0.0,54.03,wake_frames.npz,
circle_Re100_p00,synthetic,success,circle,100,0.013689894561171118,0.007317969069416921,1191620021,1,0.1316,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re100_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re100_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,2556,0.0,25.55,wake_frames.npz,
circle_Re100_p01,synthetic,success,circle,100,0.020679253528020296,-0.0066853862111875715,1161716737,1,0.1172,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re100_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re100_p01/metadata.json,32,10.0,0.015625,0.984375,0.01,2426,0.0,24.25,wake_frames.npz,
circle_Re200_p00,synthetic,success,circle,200,0.012534686692576048,0.0245866866954471,1427394119,1,0.1133,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re200_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re200_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,2396,0.0,23.95,wake_frames.npz,
circle_Re200_p01,synthetic,success,circle,200,-0.0001997966377136201,1.7315157878807774e-05,1591952631,1,0.112,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re200_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re200_p01/metadata.json,32,10.0,0.015625,0.984375,0.01,2357,0.0,23.560000000000002,wake_frames.npz,
circle_Re300_p00,synthetic,success,circle,300,-0.01035237799480438,-0.010300454855975262,917611762,1,0.1113,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re300_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re300_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,2277,0.0,22.76,wake_frames.npz,
circle_Re300_p01,synthetic,success,circle,300,0.01803564310717913,-0.03431415436022785,1524203960,1,0.1168,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re300_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re300_p01/metadata.json,32,10.0,0.015625,0.984375,0.01,2179,0.0,21.78,wake_frames.npz,
diamond_Re100_p00,synthetic,success,diamond,100,-0.012827172770550604,0.00717819407924504,1696349918,1,0.0984,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re100_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re100_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,1855,0.0,18.54,wake_frames.npz,
diamond_Re100_p01,synthetic,success,diamond,100,-0.02368891113923118,-0.03991971838179489,1052146452,1,0.0931,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re100_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re100_p01/metadata.json,32,10.0,0.015625,0.984375,0.01,1729,0.0,17.28,wake_frames.npz,
diamond_Re200_p00,synthetic,success,diamond,200,0.007145111035912068,0.03866717446397704,1284195976,1,0.0891,,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re200_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re200_p00/metadata.json,32,10.0,0.015625,0.984375,0.01,1577,0.0,15.760000000000002,wake_frames.npz,
