case_id,shape,re,sample_idx,seed,dy,eps,status,attempts,error,elapsed_s,output_csv,metadata_json
airfoil_Re100_p00,airfoil,100,0,1183322625,0.02965756008882671,-0.019867588695395857,success,1,,0.1531,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re100_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re100_p00/metadata.json
airfoil_Re100_p01,airfoil,100,1,252416377,-0.026789918769516727,-0.027701152171796126,success,1,,0.1506,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re100_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re100_p01/metadata.json
airfoil_Re200_p00,airfoil,200,0,1324529163,-0.018202500539721396,-0.014827310961559186,success,1,,0.1426,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re200_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re200_p00/metadata.json
airfoil_Re200_p01,airfoil,200,1,1495389377,0.01972357234170337,-0.021831498974238698,success,1,,0.1424,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re200_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re200_p01/metadata.json
airfoil_Re300_p00,airfoil,300,0,1634271357,0.02239526577187674,-0.03210821580538788,success,1,,0.1489,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re300_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re300_p00/metadata.json
airfoil_Re300_p01,airfoil,300,1,441339882,-0.008944536770810446,0.032557203706173585,success,1,,0.1512,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re300_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re300_p01/metadata.json
bar_Re100_p00,bar,100,0,2002046236,-0.008491870337663604,0.028647223258977457,success,1,,0.1999,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re100_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re100_p00/metadata.json
bar_Re100_p01,bar,100,1,101464161,-0.026462532270751963,0.013090683667788134,success,1,,0.2154,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re100_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re100_p01/metadata.json
bar_Re200_p00,bar,200,0,648727595,0.005466589867676251,-0.0063018627565769635,success,1,,0.1982,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re200_p00/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re200_p00/metadata.json
bar_Re200_p01,bar,200,1,1788294046,-0.009897758997144405,0.011602456848351674,success,1,,0.196,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re200_p01/probes.csv,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re200_p01/metadata.json
