case_id,shape,Re,dy,eps,seed,wake_field_npz,wake_frames,field_size,channels,scales,flow_pair_count,wake_x_min,wake_x_max,wake_y_min,wake_y_max,full_box,half_box,quarter_box,hotspot_box
airfoil_Re100_p00,airfoil,100,0.02965756008882671,-0.019867588695395857,1183322625,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re100_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.109375|0.648438|0.359375|1.000000
airfoil_Re100_p01,airfoil,100,-0.026789918769516727,-0.027701152171796126,252416377,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re100_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.648438|0.250000|1.000000
airfoil_Re200_p00,airfoil,200,-0.018202500539721396,-0.014827310961559186,1324529163,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re200_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.437500|0.250000|0.789062
airfoil_Re200_p01,airfoil,200,0.01972357234170337,-0.021831498974238698,1495389377,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re200_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.460938|0.250000|0.812500
airfoil_Re300_p00,airfoil,300,0.02239526577187674,-0.03210821580538788,1634271357,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re300_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.046875|0.000000|0.296875|0.351562
airfoil_Re300_p01,airfoil,300,-0.008944536770810446,0.032557203706173585,441339882,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/airfoil_Re300_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.500000|0.250000|0.851562
bar_Re100_p00,bar,100,-0.008491870337663604,0.028647223258977457,2002046236,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re100_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.500000|0.250000|0.851562
bar_Re100_p01,bar,100,-0.026462532270751963,0.013090683667788134,101464161,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re100_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.007812|0.054688|0.257812|0.406250
bar_Re200_p00,bar,200,0.005466589867676251,-0.0063018627565769635,648727595,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re200_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.070312|0.250000|0.421875
bar_Re200_p01,bar,200,-0.009897758997144405,0.011602456848351674,1788294046,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re200_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.062500|0.250000|0.414062
bar_Re300_p00,bar,300,-0.01709589530232992,-0.007855316409472053,1012066989,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re300_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.429688|0.250000|0.781250
bar_Re300_p01,bar,300,-0.0014533690334837257,-0.030879637067651955,1555460223,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/bar_Re300_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.484375|0.250000|0.835938
circle_Re100_p00,circle,100,0.013689894561171118,0.007317969069416921,1191620021,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re100_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.445312|0.250000|0.796875
circle_Re100_p01,circle,100,0.020679253528020296,-0.0066853862111875715,1161716737,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re100_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.648438|0.250000|1.000000
circle_Re200_p00,circle,200,0.012534686692576048,0.0245866866954471,1427394119,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re200_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.156250|0.250000|0.507812
circle_Re200_p01,circle,200,-0.0001997966377136201,1.7315157878807774e-05,1591952631,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re200_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.507812|0.250000|0.859375
circle_Re300_p00,circle,300,-0.01035237799480438,-0.010300454855975262,917611762,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re300_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.484375|0.250000|0.835938
circle_Re300_p01,circle,300,0.01803564310717913,-0.03431415436022785,1524203960,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/circle_Re300_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.437500|0.250000|0.789062
diamond_Re100_p00,diamond,100,-0.012827172770550604,0.00717819407924504,1696349918,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re100_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.648438|0.250000|1.000000
diamond_Re100_p01,diamond,100,-0.02368891113923118,-0.03991971838179489,1052146452,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re100_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.218750|0.000000|0.468750|0.351562
diamond_Re200_p00,diamond,200,0.007145111035912068,0.03866717446397704,1284195976,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re200_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.171875|0.250000|0.523438
diamond_Re200_p01,diamond,200,0.005700319447071056,-0.03087379253792471,988242924,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re200_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.132812|0.250000|0.484375
diamond_Re300_p00,diamond,300,0.020402400887778206,0.007284128886202601,620871953,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re300_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.109375|0.250000|0.460938
diamond_Re300_p01,diamond,300,-0.026817926094972265,0.00542238539245695,1558109477,/Users/chenyihao/mycode/流体力学实验/fluid-shape-pipeline/.demo/wake_smoke/data/raw/diamond_Re300_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,full|half|quarter|hotspot,7,3.1,10.0,-0.020000000000000018,1.02,0.000000|0.000000|1.000000|1.000000,0.000000|0.000000|0.500000|1.000000,0.000000|0.250000|0.500000|0.750000,0.000000|0.140625|0.250000|0.492188
