2026-04-23 09:35:55,570 | INFO | dataset | Starting dataset generation with solver=synthetic, workers=0, cases=30
2026-04-23 09:35:55,702 | INFO | dataset | Case circle_Re100_p00 succeeded on attempt 1 in 0.13s
2026-04-23 09:35:55,819 | INFO | dataset | Case circle_Re100_p01 succeeded on attempt 1 in 0.12s
2026-04-23 09:35:55,933 | INFO | dataset | Case circle_Re200_p00 succeeded on attempt 1 in 0.11s
2026-04-23 09:35:56,045 | INFO | dataset | Case circle_Re200_p01 succeeded on attempt 1 in 0.11s
2026-04-23 09:35:56,156 | INFO | dataset | Case circle_Re300_p00 succeeded on attempt 1 in 0.11s
2026-04-23 09:35:56,273 | INFO | dataset | Case circle_Re300_p01 succeeded on attempt 1 in 0.12s
2026-04-23 09:35:56,361 | INFO | dataset | Case triangle_Re100_p00 succeeded on attempt 1 in 0.09s
2026-04-23 09:35:56,445 | INFO | dataset | Case triangle_Re100_p01 succeeded on attempt 1 in 0.08s
2026-04-23 09:35:56,526 | INFO | dataset | Case triangle_Re200_p00 succeeded on attempt 1 in 0.08s
2026-04-23 09:35:56,611 | INFO | dataset | Case triangle_Re200_p01 succeeded on attempt 1 in 0.08s
2026-04-23 09:35:56,694 | INFO | dataset | Case triangle_Re300_p00 succeeded on attempt 1 in 0.08s
2026-04-23 09:35:56,775 | INFO | dataset | Case triangle_Re300_p01 succeeded on attempt 1 in 0.08s
2026-04-23 09:35:56,928 | INFO | dataset | Case airfoil_Re100_p00 succeeded on attempt 1 in 0.15s
2026-04-23 09:35:57,079 | INFO | dataset | Case airfoil_Re100_p01 succeeded on attempt 1 in 0.15s
2026-04-23 09:35:57,221 | INFO | dataset | Case airfoil_Re200_p00 succeeded on attempt 1 in 0.14s
2026-04-23 09:35:57,364 | INFO | dataset | Case airfoil_Re200_p01 succeeded on attempt 1 in 0.14s
2026-04-23 09:35:57,513 | INFO | dataset | Case airfoil_Re300_p00 succeeded on attempt 1 in 0.15s
2026-04-23 09:35:57,664 | INFO | dataset | Case airfoil_Re300_p01 succeeded on attempt 1 in 0.15s
2026-04-23 09:35:57,763 | INFO | dataset | Case diamond_Re100_p00 succeeded on attempt 1 in 0.10s
2026-04-23 09:35:57,856 | INFO | dataset | Case diamond_Re100_p01 succeeded on attempt 1 in 0.09s
2026-04-23 09:35:57,945 | INFO | dataset | Case diamond_Re200_p00 succeeded on attempt 1 in 0.09s
2026-04-23 09:35:58,039 | INFO | dataset | Case diamond_Re200_p01 succeeded on attempt 1 in 0.09s
2026-04-23 09:35:58,130 | INFO | dataset | Case diamond_Re300_p00 succeeded on attempt 1 in 0.09s
2026-04-23 09:35:58,227 | INFO | dataset | Case diamond_Re300_p01 succeeded on attempt 1 in 0.10s
2026-04-23 09:35:58,427 | INFO | dataset | Case bar_Re100_p00 succeeded on attempt 1 in 0.20s
2026-04-23 09:35:58,643 | INFO | dataset | Case bar_Re100_p01 succeeded on attempt 1 in 0.22s
2026-04-23 09:35:58,841 | INFO | dataset | Case bar_Re200_p00 succeeded on attempt 1 in 0.20s
2026-04-23 09:35:59,037 | INFO | dataset | Case bar_Re200_p01 succeeded on attempt 1 in 0.20s
2026-04-23 09:35:59,226 | INFO | dataset | Case bar_Re300_p00 succeeded on attempt 1 in 0.19s
2026-04-23 09:35:59,427 | INFO | dataset | Case bar_Re300_p01 succeeded on attempt 1 in 0.20s
2026-04-23 09:35:59,434 | INFO | dataset | Dataset generation complete. success=30 failed=0 failure_rate=0.00%
