case_id,shape,Re,dy,eps,seed,wake_field_npz,wake_frames,field_size,channels,scales,flow_pair_count,canvas_x_start,canvas_x_end,canvas_y_min,canvas_y_max,dist0.5_full_box,dist1.0_full_box,dist2.0_full_box
airfoil_Re100_p00,airfoil,100,0.0017566750793983274,0.03537343777480275,1167975272,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/data/raw/airfoil_Re100_p00/wake_field.npz,8,128,ux|uy|speed|vorticity,dist0.5_full|dist1.0_full|dist2.0_full,7,3.1,10.0,-0.030000000000000027,1.03,0.076812|0.000000|1.000000|1.000000,0.153623|0.000000|1.000000|1.000000,0.307246|0.000000|1.000000|1.000000
airfoil_Re100_p01,airfoil,100,0.04561969549394414,0.053260325618682894,1035858115,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/data/raw/airfoil_Re100_p01/wake_field.npz,8,128,ux|uy|speed|vorticity,dist0.5_full|dist1.0_full|dist2.0_full,7,3.1,10.0,-0.030000000000000027,1.03,0.076812|0.000000|1.000000|1.000000,0.153623|0.000000|1.000000|1.000000,0.307246|0.000000|1.000000|1.000000
airfoil_Re100_p02,airfoil,100,0.005519581373269487,-0.05025632010962265,40525900,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/data/raw/airfoil_Re100_p02/wake_field.npz,8,128,ux|uy|speed|vorticity,dist0.5_full|dist1.0_full|dist2.0_full,7,3.1,10.0,-0.030000000000000027,1.03,0.076812|0.000000|1.000000|1.000000,0.153623|0.000000|1.000000|1.000000,0.307246|0.000000|1.000000|1.000000
airfoil_Re100_p03,airfoil,100,-0.0008037144749122732,-0.03835965256046794,290705431,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/data/raw/airfoil_Re100_p03/wake_field.npz,8,128,ux|uy|speed|vorticity,dist0.5_full|dist1.0_full|dist2.0_full,7,3.1,10.0,-0.030000000000000027,1.03,0.076812|0.000000|1.000000|1.000000,0.153623|0.000000|1.000000|1.000000,0.307246|0.000000|1.000000|1.000000
airfoil_Re100_p04,airfoil,100,-0.013682169584904626,0.0548528243449213,724390361,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/data/raw/airfoil_Re100_p04/wake_field.npz,8,128,ux|uy|speed|vorticity,dist0.5_full|dist1.0_full|dist2.0_full,7,3.1,10.0,-0.030000000000000027,1.03,0.076812|0.000000|1.000000|1.000000,0.153623|0.000000|1.000000|1.000000,0.307246|0.000000|1.000000|1.000000
airfoil_Re100_p05,airfoil,100,-0.03736944717348572,0.03605930283362433,823815998,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/data/raw/airfoil_Re100_p05/wake_field.npz,8,128,ux|uy|speed|vorticity,dist0.5_full|dist1.0_full|dist2.0_full,7,3.1,10.0,-0.030000000000000027,1.03,0.076812|0.000000|1.000000|1.000000,0.153623|0.000000|1.000000|1.000000,0.307246|0.000000|1.000000|1.000000
airfoil_Re100_p06,airfoil,100,0.018201622296370623,-0.049686147239152094,586736146,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/data/raw/airfoil_Re100_p06/wake_field.npz,8,128,ux|uy|speed|vorticity,dist0.5_full|dist1.0_full|dist2.0_full,7,3.1,10.0,-0.030000000000000027,1.03,0.076812|0.000000|1.000000|1.000000,0.153623|0.000000|1.000000|1.000000,0.307246|0.000000|1.000000|1.000000
airfoil_Re100_p07,airfoil,100,0.01223714328906246,0.011781793674446706,839146308,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/data/raw/airfoil_Re100_p07/wake_field.npz,8,128,ux|uy|speed|vorticity,dist0.5_full|dist1.0_full|dist2.0_full,7,3.1,10.0,-0.030000000000000027,1.03,0.076812|0.000000|1.000000|1.000000,0.153623|0.000000|1.000000|1.000000,0.307246|0.000000|1.000000|1.000000
airfoil_Re100_p08,airfoil,100,0.04179856489446515,-0.04821139391806943,1059982059,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/data/raw/airfoil_Re100_p08/wake_field.npz,8,128,ux|uy|speed|vorticity,dist0.5_full|dist1.0_full|dist2.0_full,7,3.1,10.0,-0.030000000000000027,1.03,0.076812|0.000000|1.000000|1.000000,0.153623|0.000000|1.000000|1.000000,0.307246|0.000000|1.000000|1.000000
airfoil_Re100_p09,airfoil,100,0.014513325647567646,-0.0024435270085513892,1923757692,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/data/raw/airfoil_Re100_p09/wake_field.npz,8,128,ux|uy|speed|vorticity,dist0.5_full|dist1.0_full|dist2.0_full,7,3.1,10.0,-0.030000000000000027,1.03,0.076812|0.000000|1.000000|1.000000,0.153623|0.000000|1.000000|1.000000,0.307246|0.000000|1.000000|1.000000
