epoch,phase,loss_total,loss_shape,loss_params,loss_re,val_loss
1,pretrain,0.05286989988828147,,,,
2,pretrain,0.012045399132012217,,,,
3,pretrain,0.007981028416090542,,,,
4,pretrain,0.006868416853938942,,,,
5,pretrain,0.006321615875457172,,,,
6,pretrain,0.006190337075127496,,,,
7,pretrain,0.006152099835927839,,,,
8,pretrain,0.006243610629742896,,,,
9,pretrain,0.006319738954857544,,,,
10,pretrain,0.006608242089687674,,,,
11,pretrain,0.006756066326051951,,,,
12,pretrain,0.006856700306827271,,,,
13,pretrain,0.0070706222675464775,,,,
14,pretrain,0.007332730580259252,,,,
15,pretrain,0.00723610600663556,,,,
16,pretrain,0.007511093419183184,,,,
17,pretrain,0.007629840093906279,,,,
18,pretrain,0.007856144082766992,,,,
19,pretrain,0.008172503720830988,,,,
20,pretrain,0.008220406567884817,,,,
21,pretrain,0.008398254032212275,,,,
22,pretrain,0.008183181223769983,,,,
23,pretrain,0.008334585283365515,,,,
24,pretrain,0.008504258129331801,,,,
25,pretrain,0.008404212814790231,,,,
26,finetune,0.7948611716015471,0.7948611716015471,0.7647861654994389,0.0,0.96759296586944
27,finetune,0.060462600027935375,0.060462600027935375,2.439960551791721,0.0,0.4056410153054943
28,finetune,0.0016785317066953414,0.0016785317066953414,3.1029356702168784,0.0,0.5064240316604264
29,finetune,0.0005263517336505983,0.0005263517336505983,3.5761453013949924,0.0,0.6051628565845183
30,finetune,0.00026355834613140257,0.00026355834613140257,4.069259170956082,0.0,0.6579975959632752
31,finetune,0.00013247036782559007,0.00013247036782559007,4.409052039252387,0.0,0.6963193555537792
32,finetune,9.221189180809435e-05,9.221189180809435e-05,4.734066869947646,0.0,0.6973932921543989
33,finetune,6.833680105046369e-05,6.833680105046369e-05,5.106116222805447,0.0,0.7038498760626923
34,finetune,4.6718764804407124e-05,4.6718764804407124e-05,5.393487040201823,0.0,0.7388250999387108
35,finetune,3.783000785107207e-05,3.783000785107207e-05,5.664181535508898,0.0,0.7408967142778258
36,finetune,3.097589932925378e-05,3.097589932925378e-05,5.814704157511393,0.0,0.762655841256419
37,finetune,3.365491681809848e-05,3.365491681809848e-05,6.0026030180189345,0.0,0.8133998085970415
38,finetune,2.8433948431888388e-05,2.8433948431888388e-05,6.174983277850681,0.0,0.8021554159200807
39,finetune,2.6529758906690402e-05,2.6529758906690402e-05,6.380112586551243,0.0,0.7892380411866745
40,finetune,2.3135554935530916e-05,2.3135554935530916e-05,6.415217391120063,0.0,0.786880751064008
41,finetune,3.812980873691332e-05,3.812980873691332e-05,6.487492139604356,0.0,1.0864641410218419
42,finetune,2.0652852601617472e-05,2.0652852601617472e-05,6.886968116760254,0.0,1.0576986114258418
43,finetune,1.8448519927510967e-05,1.8448519927510967e-05,6.815351058112251,0.0,0.9929419446291224
44,finetune,1.587634214249394e-05,1.587634214249394e-05,6.803643925984701,0.0,0.9823527885857322
45,finetune,1.15267924896519e-05,1.15267924896519e-05,6.875205001831055,0.0,0.9718794401855788
46,finetune,8.082487361712588e-06,8.082487361712588e-06,7.008153550889757,0.0,0.9657358259030157
47,finetune,9.871554583595651e-06,9.871554583595651e-06,7.062833565606011,0.0,0.961334283082806
