case_id,source_case_id,shape,shape_cn,speed_level,sequence,Re,estimated_re,freestream_u_mm_s,dy,eps,seed,split,domain,csv_index,source_csv,wake_field_npz,wake_frames,field_size,native_grid_nx,native_grid_ny,channels,scales,flow_pair_count,canvas_x_start,canvas_x_end,canvas_y_min,canvas_y_max,crop_mode,flip_y,correlation_mean,peak_ratio_median,flag_mean,distD1.0_full_box,distD2.0_full_box,distD4.0_full_box
piv_airfoil_lvl05_seq01_t0001,airfoil_lvl5_seq1,airfoil,机翼,5,1,880,956.2885826590583,11.9853,0.0,0.0,1,validation,piv,1,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组/1.csv,/home/chenyihao/fluid_runs/piv_blueluna_linearRe_stride5/data/raw/piv_airfoil_lvl05_seq01_t0001/wake_field.npz,0,128,57,31,ux|uy|speed|vorticity,distD1.0_full|distD2.0_full|distD4.0_full,0,0.00415383,0.244038,0.00739902,0.135908,model_fractions,False,0.8195955574419922,4.06754,1.0,0.142452|0.000000|1.000000|1.000000,0.284905|0.000000|1.000000|1.000000,0.569810|0.000000|1.000000|1.000000
piv_airfoil_lvl05_seq01_t0006,airfoil_lvl5_seq1,airfoil,机翼,5,1,880,966.3379387023703,12.11125,0.0,0.0,1,validation,piv,6,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组/6.csv,/home/chenyihao/fluid_runs/piv_blueluna_linearRe_stride5/data/raw/piv_airfoil_lvl05_seq01_t0006/wake_field.npz,0,128,57,31,ux|uy|speed|vorticity,distD1.0_full|distD2.0_full|distD4.0_full,0,0.00415383,0.244038,0.00739902,0.135908,model_fractions,False,0.8214287855121676,4.10686,1.0,0.142452|0.000000|1.000000|1.000000,0.284905|0.000000|1.000000|1.000000,0.569810|0.000000|1.000000|1.000000
piv_airfoil_lvl05_seq01_t0011,airfoil_lvl5_seq1,airfoil,机翼,5,1,880,973.7462968494249,12.2041,0.0,0.0,1,validation,piv,11,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组/11.csv,/home/chenyihao/fluid_runs/piv_blueluna_linearRe_stride5/data/raw/piv_airfoil_lvl05_seq01_t0011/wake_field.npz,0,128,57,31,ux|uy|speed|vorticity,distD1.0_full|distD2.0_full|distD4.0_full,0,0.00415383,0.244038,0.00739902,0.135908,model_fractions,False,0.820222610073571,4.07189,1.0,0.142452|0.000000|1.000000|1.000000,0.284905|0.000000|1.000000|1.000000,0.569810|0.000000|1.000000|1.000000
piv_airfoil_lvl05_seq01_t0016,airfoil_lvl5_seq1,airfoil,机翼,5,1,880,970.2196470906763,12.1599,0.0,0.0,1,validation,piv,16,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组/16.csv,/home/chenyihao/fluid_runs/piv_blueluna_linearRe_stride5/data/raw/piv_airfoil_lvl05_seq01_t0016/wake_field.npz,0,128,57,31,ux|uy|speed|vorticity,distD1.0_full|distD2.0_full|distD4.0_full,0,0.00415383,0.244038,0.00739902,0.135908,model_fractions,False,0.8195603322014713,4.0435,1.0,0.142452|0.000000|1.000000|1.000000,0.284905|0.000000|1.000000|1.000000,0.569810|0.000000|1.000000|1.000000
piv_airfoil_lvl05_seq01_t0021,airfoil_lvl5_seq1,airfoil,机翼,5,1,880,971.4404104687046,12.1752,0.0,0.0,1,validation,piv,21,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组/21.csv,/home/chenyihao/fluid_runs/piv_blueluna_linearRe_stride5/data/raw/piv_airfoil_lvl05_seq01_t0021/wake_field.npz,0,128,57,31,ux|uy|speed|vorticity,distD1.0_full|distD2.0_full|distD4.0_full,0,0.00415383,0.244038,0.00739902,0.135908,model_fractions,False,0.8199569156762875,4.08118,1.0,0.142452|0.000000|1.000000|1.000000,0.284905|0.000000|1.000000|1.000000,0.569810|0.000000|1.000000|1.000000
piv_airfoil_lvl05_seq01_t0026,airfoil_lvl5_seq1,airfoil,机翼,5,1,880,972.0587710033268,12.18295,0.0,0.0,1,validation,piv,26,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组/26.csv,/home/chenyihao/fluid_runs/piv_blueluna_linearRe_stride5/data/raw/piv_airfoil_lvl05_seq01_t0026/wake_field.npz,0,128,57,31,ux|uy|speed|vorticity,distD1.0_full|distD2.0_full|distD4.0_full,0,0.00415383,0.244038,0.00739902,0.135908,model_fractions,False,0.8205207362761744,4.07677,1.0,0.142452|0.000000|1.000000|1.000000,0.284905|0.000000|1.000000|1.000000,0.569810|0.000000|1.000000|1.000000
piv_airfoil_lvl05_seq01_t0031,airfoil_lvl5_seq1,airfoil,机翼,5,1,880,964.1676926969867,12.084050000000001,0.0,0.0,1,validation,piv,31,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组/31.csv,/home/chenyihao/fluid_runs/piv_blueluna_linearRe_stride5/data/raw/piv_airfoil_lvl05_seq01_t0031/wake_field.npz,0,128,57,31,ux|uy|speed|vorticity,distD1.0_full|distD2.0_full|distD4.0_full,0,0.00415383,0.244038,0.00739902,0.135908,model_fractions,False,0.8212582756083757,4.06443,1.0,0.142452|0.000000|1.000000|1.000000,0.284905|0.000000|1.000000|1.000000,0.569810|0.000000|1.000000|1.000000
piv_airfoil_lvl05_seq01_t0036,airfoil_lvl5_seq1,airfoil,机翼,5,1,880,968.9948942898437,12.144549999999999,0.0,0.0,1,validation,piv,36,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组/36.csv,/home/chenyihao/fluid_runs/piv_blueluna_linearRe_stride5/data/raw/piv_airfoil_lvl05_seq01_t0036/wake_field.npz,0,128,57,31,ux|uy|speed|vorticity,distD1.0_full|distD2.0_full|distD4.0_full,0,0.00415383,0.244038,0.00739902,0.135908,model_fractions,False,0.8224843022071306,4.04587,1.0,0.142452|0.000000|1.000000|1.000000,0.284905|0.000000|1.000000|1.000000,0.569810|0.000000|1.000000|1.000000
piv_airfoil_lvl05_seq01_t0041,airfoil_lvl5_seq1,airfoil,机翼,5,1,880,955.0079779389695,11.969249999999999,0.0,0.0,1,validation,piv,41,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组/41.csv,/home/chenyihao/fluid_runs/piv_blueluna_linearRe_stride5/data/raw/piv_airfoil_lvl05_seq01_t0041/wake_field.npz,0,128,57,31,ux|uy|speed|vorticity,distD1.0_full|distD2.0_full|distD4.0_full,0,0.00415383,0.244038,0.00739902,0.135908,model_fractions,False,0.8197330718732315,4.03439,1.0,0.142452|0.000000|1.000000|1.000000,0.284905|0.000000|1.000000|1.000000,0.569810|0.000000|1.000000|1.000000
piv_airfoil_lvl05_seq01_t0046,airfoil_lvl5_seq1,airfoil,机翼,5,1,880,962.2607485966677,12.06015,0.0,0.0,1,validation,piv,46,/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组/46.csv,/home/chenyihao/fluid_runs/piv_blueluna_linearRe_stride5/data/raw/piv_airfoil_lvl05_seq01_t0046/wake_field.npz,0,128,57,31,ux|uy|speed|vorticity,distD1.0_full|distD2.0_full|distD4.0_full,0,0.00415383,0.244038,0.00739902,0.135908,model_fractions,False,0.8219728551216753,4.02773,1.0,0.142452|0.000000|1.000000|1.000000,0.284905|0.000000|1.000000|1.000000,0.569810|0.000000|1.000000|1.000000
