directory,source_name,shape_cn,shape,speed_level,sequence,csv_files,selected_csvs,freestream_u_median_mm_s,estimated_re_median
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第1组,机翼-5转速-第1组,机翼,airfoil,5,1,299,60,12.085175000000001,964.2574547100769
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第2组,机翼-5转速-第2组,机翼,airfoil,5,2,299,60,12.0905,964.6823282387044
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-5转速-第3组,机翼-5转速-第3组,机翼,airfoil,5,3,299,60,12.107675,966.0526949718833
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-10转速-第1组,机翼-10转速-第1组,机翼,airfoil,10,1,299,60,12.095125,965.0513498480756
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-10转速-第2组,机翼-10转速-第2组,机翼,airfoil,10,2,299,60,12.1236,967.3233261349618
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-10转速-第3组,机翼-10转速-第3组,机翼,airfoil,10,3,299,60,12.234375,976.1618923572556
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-15转速-第1组,机翼-15转速-第1组,机翼,airfoil,15,1,299,60,12.014125,958.5884849055725
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-15转速-第2组,机翼-15转速-第2组,机翼,airfoil,15,2,299,60,12.141124999999999,968.7216188277688
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/机翼-15转速-第3组,机翼-15转速-第3组,机翼,airfoil,15,3,299,60,12.077725000000001,963.6630307122788
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/长方-5转速-第1组,长方-5转速-第1组,长方,bar,5,1,299,60,11.768125,938.9605247098219
/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/蓝月传奇/计算结果/长方-5转速-第2组,长方-5转速-第2组,长方,bar,5,2,299,60,11.831800000000001,944.0410546507343
