dir,dir_name,shape_cn,shape,speed_level,sequence,csv_count,sample_n,x_min_mm,x_max_mm,y_min_mm,y_max_mm,u_median_sample_mm_s,speed_mean_sample_mm_s,corr_mean_sample,peak_median_sample,flag_mean_sample,sample_stats
蓝月传奇\计算结果\三角-5转速-第1组,三角-5转速-第1组,三角,三角,5,1,299,1767,4.15383,244.038,7.39902,135.908,7.88796,9.412893345010376,0.7185488126768534,3.976846666666667,1.0003772873042822,"[{""file"": ""1.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 6.945823130356537, ""u_med"": 7.88796, ""u_p10"": 0.8032128000000002, ""u_p90"": 12.25572, ""speed_mean"": 9.242624132993775, ""v_abs_mean"": 4.547868752501414, ""corr_mean"": 0.7177394855687607, ""peak_med"": 3.94194, ""flag_mean"": 1.0011318619128466, ""rot_mean"": -0.0002861691300226372, ""rot_abs_p95"": 0.005031267999999999}, {""file"": ""150.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 7.1524958221901525, ""u_med"": 8.16148, ""u_p10"": 0.3153078, ""u_p90"": 12.69064, ""speed_mean"": 9.597893049235994, ""v_abs_mean"": 4.803812001403508, ""corr_mean"": 0.716056377475948, ""peak_med"": 3.99113, ""flag_mean"": 1.0, ""rot_mean"": -0.00025878361510469716, ""rot_abs_p95"": 0.007354411999999999}, {""file"": ""299.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 6.86506001302207, ""u_med"": 7.67834, ""u_p10"": 0.13242988000000125, ""u_p90"": 12.601140000000001, ""speed_mean"": 9.39816285280136, ""v_abs_mean"": 4.751175577079796, ""corr_mean"": 0.7218505749858518, ""peak_med"": 3.99747, ""flag_mean"": 1.0, ""rot_mean"": -0.000281959520181098, ""rot_abs_p95"": 0.0077120159999999735}]"
蓝月传奇\计算结果\三角-5转速-第2组,三角-5转速-第2组,三角,三角,5,2,299,1767,4.15383,244.038,7.39902,135.908,1.63517,4.886928940030184,0.7363851171477082,4.112636666666667,1.0,"[{""file"": ""1.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 2.0991032289575555, ""u_med"": 1.15554, ""u_p10"": -2.090894, ""u_p90"": 8.623032, ""speed_mean"": 4.792499371250708, ""v_abs_mean"": 2.7577623281437464, ""corr_mean"": 0.7394488047538201, ""peak_med"": 4.11189, ""flag_mean"": 1.0, ""rot_mean"": -8.146706640067912e-05, ""rot_abs_p95"": 0.007238835999999999}, {""file"": ""150.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 2.3162279346576122, ""u_med"": 1.63517, ""u_p10"": -1.8625099999999999, ""u_p90"": 8.66162, ""speed_mean"": 4.905549146349745, ""v_abs_mean"": 2.6754184336898694, ""corr_mean"": 0.7362490945104697, ""peak_med"": 4.13501, ""flag_mean"": 1.0, ""rot_mean"": -0.0001518429109847198, ""rot_abs_p95"": 0.008129220999999996}, {""file"": ""299.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 2.413751236508206, ""u_med"": 1.78085, ""u_p10"": -1.8114019999999997, ""u_p90"": 8.849712, ""speed_mean"": 4.962738302490096, ""v_abs_mean"": 2.6905113965987546, ""corr_mean"": 0.7334574521788343, ""peak_med"": 4.09101, ""flag_mean"": 1.0, ""rot_mean"": -0.0001675489828296547, ""rot_abs_p95"": 0.008031819999999995}]"
蓝月传奇\计算结果\三角-5转速-第3组,三角-5转速-第3组,三角,三角,5,3,299,1767,4.15383,244.038,7.39902,135.908,4.63568,6.625369518260705,0.7428585549896245,4.141993333333334,1.0,"[{""file"": ""1.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 5.421007864929259, ""u_med"": 4.58498, ""u_p10"": -0.45026779999999994, ""u_p90"": 12.07028, ""speed_mean"": 6.680528049235993, ""v_abs_mean"": 2.1886268765930956, ""corr_mean"": 0.7423743089983021, ""peak_med"": 4.13473, ""flag_mean"": 1.0, ""rot_mean"": -4.644620790605544e-05, ""rot_abs_p95"": 0.007221889999999988}, {""file"": ""150.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 5.234786038862478, ""u_med"": 4.63568, ""u_p10"": -0.7626093999999997, ""u_p90"": 11.82348, ""speed_mean"": 6.5724524699490665, ""v_abs_mean"": 2.2859417582229766, ""corr_mean"": 0.7411344623655913, ""peak_med"": 4.14123, ""flag_mean"": 1.0, ""rot_mean"": 7.769191698924736e-05, ""rot_abs_p95"": 0.0071658109999999916}, {""file"": ""299.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 5.23051077319751, ""u_med"": 4.77953, ""u_p10"": -0.7677002, ""u_p90"": 11.85824, ""speed_mean"": 6.623128035597056, ""v_abs_mean"": 2.4634616461346917, ""corr_mean"": 0.7450668936049801, ""peak_med"": 4.15002, ""flag_mean"": 1.0, ""rot_mean"": 9.685355022241082e-05, ""rot_abs_p95"": 0.007132655999999997}]"
蓝月传奇\计算结果\三角-10转速-第1组,三角-10转速-第1组,三角,三角,10,1,299,1767,4.15383,244.038,7.39902,135.908,1.70751,5.043412678796454,0.7520638287115639,4.212486666666667,1.0,"[{""file"": ""1.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 3.126595106564799, ""u_med"": 1.33103, ""u_p10"": -0.6102297999999999, ""u_p90"": 11.41112, ""speed_mean"": 4.805115671646859, ""v_abs_mean"": 2.193355454482173, ""corr_mean"": 0.7547056813808715, ""peak_med"": 4.22031, ""flag_mean"": 1.0, ""rot_mean"": -0.0003788143812167516, ""rot_abs_p95"": 0.006659980999999998}, {""file"": ""150.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 3.5974349671760044, ""u_med"": 1.70751, ""u_p10"": -0.3507528, ""u_p90"": 11.55082, ""speed_mean"": 5.096413332144879, ""v_abs_mean"": 2.184894557142049, ""corr_mean"": 0.7512560843237125, ""peak_med"": 4.21398, ""flag_mean"": 1.0, ""rot_mean"": -0.00043779511341822283, ""rot_abs_p95"": 0.006300433}, {""file"": ""299.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 3.6870463648047536, ""u_med"": 2.10237, ""u_p10"": -0.23267779999999996, ""u_p90"": 11.443200000000001, ""speed_mean"": 5.228709032597624, ""v_abs_mean"": 2.2086711687549516, ""corr_mean"": 0.7502297204301075, ""peak_med"": 4.20317, ""flag_mean"": 1.0, ""rot_mean"": -0.0005846356749066213, ""rot_abs_p95"": 0.0065567849999999955}]"
蓝月传奇\计算结果\三角-10转速-第2组,三角-10转速-第2组,三角,三角,10,2,299,1767,4.15383,244.038,7.39902,135.908,1.78739,5.441212985587626,0.749064295038672,4.1760166666666665,1.0,"[{""file"": ""1.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 3.9645801815166952, ""u_med"": 1.86929, ""u_p10"": -1.62731, ""u_p90"": 12.9879, ""speed_mean"": 5.688901196095077, ""v_abs_mean"": 1.958221575772496, ""corr_mean"": 0.7562135031126203, ""peak_med"": 4.21684, ""flag_mean"": 1.0, ""rot_mean"": -0.00017012991614035085, ""rot_abs_p95"": 0.007397234999999991}, {""file"": ""150.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 3.368049463970005, ""u_med"": 1.78739, ""u_p10"": -2.187624, ""u_p90"": 11.581880000000004, ""speed_mean"": 5.457592406168648, ""v_abs_mean"": 1.98339736631013, ""corr_mean"": 0.7504884125636673, ""peak_med"": 4.1723, ""flag_mean"": 1.0, ""rot_mean"": -0.00016013379570684768, ""rot_abs_p95"": 0.007163900999999999}, {""file"": ""299.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 2.771053275925297, ""u_med"": 1.60447, ""u_p10"": -2.672396, ""u_p90"": 10.16058, ""speed_mean"": 5.177145354499151, ""v_abs_mean"": 2.1118215107583476, ""corr_mean"": 0.7404909694397284, ""peak_med"": 4.13891, ""flag_mean"": 1.0, ""rot_mean"": -0.00015478339225240522, ""rot_abs_p95"": 0.0071521649999999985}]"
蓝月传奇\计算结果\三角-10转速-第3组,三角-10转速-第3组,三角,三角,10,3,299,1767,4.15383,244.038,7.39902,135.908,3.16135,6.275572194046407,0.7407991692133559,4.116506666666667,1.0,"[{""file"": ""1.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.580711085563101, ""u_med"": 3.59567, ""u_p10"": -0.7880421999999998, ""u_p90"": 12.08688, ""speed_mean"": 6.492199237351443, ""v_abs_mean"": 2.9914427983588, ""corr_mean"": 0.7357018024900961, ""peak_med"": 4.09876, ""flag_mean"": 1.0, ""rot_mean"": -0.00028575001014487835, ""rot_abs_p95"": 0.008832070999999995}, {""file"": ""150.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.2224580704640635, ""u_med"": 3.16135, ""u_p10"": -1.0521839999999998, ""u_p90"": 11.65938, ""speed_mean"": 6.140169246202604, ""v_abs_mean"": 2.848883504119977, ""corr_mean"": 0.7447595104697227, ""peak_med"": 4.12045, ""flag_mean"": 1.0, ""rot_mean"": -0.00037564607567062817, ""rot_abs_p95"": 0.007545226999999991}, {""file"": ""299.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.225290537323146, ""u_med"": 2.9307, ""u_p10"": -1.400858, ""u_p90"": 11.767240000000001, ""speed_mean"": 6.194348098585173, ""v_abs_mean"": 2.756147226270515, ""corr_mean"": 0.741936194680249, ""peak_med"": 4.13031, ""flag_mean"": 1.0, ""rot_mean"": -0.0003323777397509902, ""rot_abs_p95"": 0.007884022999999988}]"
蓝月传奇\计算结果\三角-15转速-第1组,三角-15转速-第1组,三角,三角,15,1,299,1767,4.15383,244.038,7.39902,135.908,3.42072,7.510289293491792,0.7269500499905678,4.077626666666666,1.0,"[{""file"": ""1.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 5.100016230370684, ""u_med"": 3.77056, ""u_p10"": -0.7879032, ""u_p90"": 12.60632, ""speed_mean"": 7.6044793881154495, ""v_abs_mean"": 3.51534528335597, ""corr_mean"": 0.7227477458970006, ""peak_med"": 4.04727, ""flag_mean"": 1.0, ""rot_mean"": -0.00045579949679117136, ""rot_abs_p95"": 0.007891887999999998}, {""file"": ""150.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.921687828924731, ""u_med"": 3.42072, ""u_p10"": -1.0094859999999999, ""u_p90"": 12.4289, ""speed_mean"": 7.577104349179399, ""v_abs_mean"": 3.4792586295472554, ""corr_mean"": 0.7282602835314093, ""peak_med"": 4.06226, ""flag_mean"": 1.0, ""rot_mean"": -0.00036266141307300496, ""rot_abs_p95"": 0.007980884999999978}, {""file"": ""299.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.744965557192982, ""u_med"": 2.89182, ""u_p10"": -1.2429439999999998, ""u_p90"": 12.216740000000001, ""speed_mean"": 7.349284143180531, ""v_abs_mean"": 3.3133554868986987, ""corr_mean"": 0.7298421205432937, ""peak_med"": 4.12335, ""flag_mean"": 1.0, ""rot_mean"": -0.000292316861080928, ""rot_abs_p95"": 0.008348057999999995}]"
蓝月传奇\计算结果\三角-15转速-第2组,三角-15转速-第2组,三角,三角,15,2,299,1767,4.15383,244.038,7.39902,135.908,3.23166,7.075917725070742,0.7239935955480098,4.018673333333333,1.0,"[{""file"": ""1.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.1334100404080365, ""u_med"": 2.75006, ""u_p10"": -1.0165199999999996, ""u_p90"": 10.921579999999999, ""speed_mean"": 6.8161543246179965, ""v_abs_mean"": 3.7372675713412566, ""corr_mean"": 0.7233539320882852, ""peak_med"": 4.01171, ""flag_mean"": 1.0, ""rot_mean"": -0.0005885653247651386, ""rot_abs_p95"": 0.007186807999999999}, {""file"": ""150.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.439164585183928, ""u_med"": 3.23166, ""u_p10"": -1.022608, ""u_p90"": 11.34118, ""speed_mean"": 7.0370873554046405, ""v_abs_mean"": 3.7580996643803055, ""corr_mean"": 0.7267960158460668, ""peak_med"": 4.03791, ""flag_mean"": 1.0, ""rot_mean"": -0.0006925341144595361, ""rot_abs_p95"": 0.006442358}, {""file"": ""299.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.797824885700057, ""u_med"": 3.9006, ""u_p10"": -1.11707, ""u_p90"": 11.77954, ""speed_mean"": 7.374511495189587, ""v_abs_mean"": 3.847481908992643, ""corr_mean"": 0.7218308387096775, ""peak_med"": 4.0064, ""flag_mean"": 1.0, ""rot_mean"": -0.0007422561832427844, ""rot_abs_p95"": 0.006527160999999999}]"
蓝月传奇\计算结果\三角-15转速-第3组,三角-15转速-第3组,三角,三角,15,3,299,1767,4.15383,244.038,7.39902,135.908,3.55104,5.692068111394076,0.7276595904546311,4.042893333333333,1.000188643652141,"[{""file"": ""1.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.626189534479344, ""u_med"": 3.68505, ""u_p10"": -0.5782512, ""u_p90"": 11.412080000000001, ""speed_mean"": 5.806738781607244, ""v_abs_mean"": 2.1226703952801356, ""corr_mean"": 0.7238371516694962, ""peak_med"": 3.99294, ""flag_mean"": 1.0, ""rot_mean"": -0.00012295936958687034, ""rot_abs_p95"": 0.0070946839999999995}, {""file"": ""150.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.448119189660441, ""u_med"": 3.55104, ""u_p10"": -0.6839906, ""u_p90"": 11.18438, ""speed_mean"": 5.5135004012450475, ""v_abs_mean"": 1.8067857666044145, ""corr_mean"": 0.7275618528579514, ""peak_med"": 4.06706, ""flag_mean"": 1.0005659309564232, ""rot_mean"": -0.0001994898977023204, ""rot_abs_p95"": 0.005166674999999997}, {""file"": ""299.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.678170481870402, ""u_med"": 3.366, ""u_p10"": -0.5642721999999997, ""u_p90"": 11.996760000000002, ""speed_mean"": 5.755965151329938, ""v_abs_mean"": 1.7668330626372384, ""corr_mean"": 0.7315797668364459, ""peak_med"": 4.06868, ""flag_mean"": 1.0, ""rot_mean"": -0.00016937888212224103, ""rot_abs_p95"": 0.007216816999999999}]"
蓝月传奇\计算结果\圆-5转速-第1组,圆-5转速-第1组,圆,圆,5,1,299,1767,4.15383,244.038,7.39902,135.908,4.23088,6.227114715563101,0.7635968381437465,4.350953333333334,1.0,"[{""file"": ""1.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 5.20968255262026, ""u_med"": 4.40731, ""u_p10"": -0.7770737999999999, ""u_p90"": 12.24002, ""speed_mean"": 6.229886004187888, ""v_abs_mean"": 1.4490996506168647, ""corr_mean"": 0.7645377917374081, ""peak_med"": 4.35132, ""flag_mean"": 1.0, ""rot_mean"": -0.00011313183738539895, ""rot_abs_p95"": 0.006823480999999991}, {""file"": ""150.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 5.256071695057725, ""u_med"": 4.23088, ""u_p10"": -0.7747611999999998, ""u_p90"": 12.44588, ""speed_mean"": 6.282566884436898, ""v_abs_mean"": 1.4981471350311262, ""corr_mean"": 0.7666798556876061, ""peak_med"": 4.3629, ""flag_mean"": 1.0, ""rot_mean"": -0.0001112014915110357, ""rot_abs_p95"": 0.007037930999999991}, {""file"": ""299.csv"", ""n"": 1767, ""x_min"": 4.15383, ""x_max"": 244.038, ""y_min"": 7.39902, ""y_max"": 135.908, ""u_mean"": 4.98176538785795, ""u_med"": 3.6745, ""u_p10"": -1.1516619999999997, ""u_p90"": 12.364180000000001, ""speed_mean"": 6.168891258064515, ""v_abs_mean"": 1.6240835918958685, ""corr_mean"": 0.7595728670062251, ""peak_med"": 4.33864, ""flag_mean"": 1.0, ""rot_mean"": -0.00015251132353140913, ""rot_abs_p95"": 0.006373026999999977}]"
