TITLE = "150.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
4.15383,135.908,13.1908,13.1724,-0.695801,0.641187,1,0.00039661,1.2818,
8.43747,135.908,12.1283,12.1004,-0.822449,0.813186,1,0.000364536,3.4138,
12.7211,135.908,12.0211,11.9985,-0.737,0.851019,1,0.000464398,3.39364,
17.0048,135.908,13.2456,13.2422,-0.297546,0.81953,1,-9.9758e-05,2.88888,
21.2884,135.908,13.1789,13.1618,-0.671387,0.796164,1,-0.00099637,2.21864,
25.572,135.908,13.6213,13.6012,-0.738525,0.798515,1,0.000416863,2.08143,
29.8557,135.908,13.9613,13.9613,-0.0244141,0.826137,1,0.000845624,2.54789,
34.1393,135.908,14.6047,14.6037,-0.166321,0.827738,1,0.00152706,3.55516,
38.423,135.908,13.6723,13.661,-0.556946,0.817876,1,-0.000621213,3.71242,
42.7066,135.908,13.3073,13.3064,-0.161743,0.831358,1,-0.00166507,4.59215,
46.9902,135.908,13.3637,13.3636,-0.0442505,0.822877,1,-0.00210237,3.83147,
51.2739,135.908,13.7641,13.7599,-0.338745,0.811035,1,-0.000714711,3.59426,
55.5575,135.908,13.9932,13.9898,-0.306702,0.843623,1,0.000490201,4.19462,
59.8411,135.908,14.41,14.4097,-0.0930786,0.858899,1,0.00190133,4.3576,
64.1248,135.908,13.7959,13.7954,-0.119019,0.89254,1,0.00069166,4.50986,
68.4084,135.908,13.4215,13.4178,-0.312805,0.921942,1,-0.00160096,5.26464,
72.6921,135.908,13.4811,13.4741,-0.436401,0.875238,1,-0.00238748,4.17787,
76.9757,135.908,13.6503,13.6375,-0.590515,0.828645,1,-0.000493641,3.34508,
81.2593,135.908,13.3948,13.388,-0.42572,0.839358,1,-0.00162865,3.39599,
85.543,135.908,13.6627,13.656,-0.427246,0.829881,1,-0.000620272,3.50135,
89.8266,135.908,13.3407,13.3356,-0.369263,0.858103,1,-0.00129232,3.91373,
94.1103,135.908,12.993,12.9869,-0.39978,0.918767,1,-0.00277738,4.71767,
98.3939,135.908,12.8858,12.8762,-0.495911,0.907617,1,-0.00274592,3.23862,
102.678,135.908,13.2307,13.2265,-0.332642,0.859274,1,-0.000778415,4.16957,
106.961,135.908,13.1759,13.1754,-0.111389,0.848356,1,-0.000247568,3.75789,
111.245,135.908,13.1752,13.1746,-0.120544,0.884248,1,-0.000616292,4.04101,
115.528,135.908,13.1433,13.1423,-0.169373,0.90592,1,-0.0013592,4.25836,
119.812,135.908,13.0635,13.0632,-0.0915527,0.903427,1,-0.00126207,4.42456,
124.096,135.908,13.3016,13.3015,0.0610352,0.873782,1,-0.00187955,4.48649,
128.379,135.908,12.3716,12.3692,-0.244141,0.834918,1,-0.00361047,3.62699,
132.663,135.908,12.1284,12.1245,-0.306702,0.817327,1,-0.00155981,3.90055,
136.947,135.908,13.2118,13.2112,0.119019,0.898127,1,3.56413e-05,3.48937,
141.23,135.908,12.9704,12.969,0.184631,0.927242,1,-0.000616523,3.74387,
145.514,135.908,12.7808,12.7767,0.326538,0.904005,1,-0.00128542,3.7188,
149.798,135.908,12.9557,12.9446,0.535583,0.881686,1,-0.000452055,4.50943,
