TITLE = "1.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
4.15383,135.908,14.4236,14.413,-0.552368,0.807392,1,-4.11265e-05,4.16106,
8.43747,135.908,13.8894,13.8836,-0.401306,0.78958,1,1.89533e-05,3.47295,
12.7211,135.908,13.2153,13.2153,0.0320435,0.791644,1,0.000345954,2.94642,
17.0048,135.908,12.6844,12.684,-0.102234,0.771247,1,-0.000955289,2.31312,
21.2884,135.908,13.3956,13.3946,-0.167847,0.775042,1,0.00150914,3.47012,
25.572,135.908,13.4832,13.4827,-0.114441,0.854104,1,0.00118539,4.59424,
29.8557,135.908,13.6088,13.6078,-0.169373,0.85422,1,0.00103446,4.78606,
34.1393,135.908,13.9335,13.9307,-0.280762,0.848167,1,0.00144448,3.39656,
38.423,135.908,14.1894,14.182,-0.456238,0.844537,1,0.0011172,4.4151,
42.7066,135.908,13.6616,13.6564,-0.376892,0.825328,1,0.00095347,4.01948,
46.9902,135.908,12.9882,12.9848,-0.299072,0.839306,1,-0.000237734,3.0138,
51.2739,135.908,13.0528,13.0524,-0.105286,0.87145,1,-2.04511e-05,3.29427,
55.5575,135.908,13.7056,13.7035,-0.236511,0.888733,1,0.00131167,4.81891,
59.8411,135.908,14.312,14.3105,-0.212097,0.888514,1,0.00309441,3.47521,
64.1248,135.908,14.951,14.9501,-0.158691,0.898554,1,0.000952462,3.36119,
68.4084,135.908,15.1332,15.1313,-0.239563,0.895495,1,-0.000751936,2.64906,
72.6921,135.908,13.9297,13.9291,-0.128174,0.848609,1,0.000101516,4.51922,
76.9757,135.908,13.952,13.946,-0.40741,0.861508,1,0.00144811,4.59616,
81.2593,135.908,13.3904,13.3849,-0.384521,0.902434,1,0.000992547,4.22705,
85.543,135.908,13.1848,13.1696,-0.631714,0.854735,1,-0.000404047,4.11932,
89.8266,135.908,13.4434,13.4384,-0.366211,0.81255,1,-0.00010136,3.63808,
94.1103,135.908,14.1208,14.1145,-0.421143,0.843235,1,0.00125563,4.52216,
98.3939,135.908,13.5151,13.5107,-0.3479,0.914708,1,0.000424883,3.53647,
