TITLE = "1.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
4.15383,135.908,10.7375,10.7355,0.210571,0.868313,1,0.00811274,3.55858,
8.43747,135.908,9.14386,9.14371,0.0518799,0.80743,1,0.0075291,3.75713,
12.7211,135.908,7.75186,7.74806,0.242615,0.770089,1,0.008603,3.56173,
17.0048,135.908,6.29279,6.23881,0.822449,0.725079,1,0.00958589,3.90855,
21.2884,135.908,6.37162,6.29467,0.987244,0.69483,1,0.0080139,3.40719,
25.572,135.908,7.4494,7.09299,2.27661,0.700677,1,0.00821031,4.15947,
29.8557,135.908,10.2266,10.2154,0.479126,0.80357,1,0.00848494,3.36013,
34.1393,135.908,10.1387,10.1387,0.0244141,0.809281,1,0.00592098,3.24019,
38.423,135.908,10.0853,10.0794,0.343323,0.78088,1,0.00627227,3.46151,
42.7066,135.908,11.3947,11.393,0.196838,0.81014,1,0.00510259,4.10819,
46.9902,135.908,12.3002,12.2986,-0.198364,0.854915,1,0.003917,4.17238,
51.2739,135.908,12.9619,12.9287,-0.926208,0.836118,1,0.0023422,4.40805,
55.5575,135.908,13.7622,13.559,-2.35596,0.774394,1,0.00320029,4.37856,
59.8411,135.908,14.1311,13.594,-3.85895,0.750956,1,0.00273712,4.12898,
64.1248,135.908,14.7811,13.9287,-4.9469,0.744203,1,0.00292765,3.63925,
68.4084,135.908,15.0258,13.9875,-5.48859,0.673173,1,0.00370075,3.55274,
72.6921,135.908,14.3379,13.1946,-5.61066,0.698963,1,0.00199922,3.36849,
76.9757,135.908,13.4065,12.6244,-4.51202,0.735062,1,0.00078576,3.45241,
81.2593,135.908,12.6202,12.4532,-2.0462,0.802014,1,0.000595005,4.71726,
85.543,135.908,12.503,12.3586,-1.89514,0.801753,1,0.000181849,4.64923,
89.8266,135.908,12.1106,11.9322,-2.07062,0.770796,1,-0.00106496,4.47416,
94.1103,135.908,12.1143,11.9788,-1.80664,0.775773,1,0.00044528,5.29947,
98.3939,135.908,12.0659,11.9643,-1.5625,0.776096,1,0.000560844,4.87334,
102.678,135.908,12.1722,12.1084,-1.24512,0.808839,1,0.000722511,5.33533,
106.961,135.908,12.5075,12.4636,-1.04675,0.788746,1,0.000340085,5.23294,
111.245,135.908,12.6165,12.5865,-0.869751,0.822513,1,-0.000192455,4.98767,
115.528,135.908,12.3686,12.3617,-0.413513,0.845951,1,-0.000429,4.87665,
