TITLE = "1.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
4.15383,135.908,8.09944,8.09914,0.0701904,0.795757,1,0.00687738,2.98205,
8.43747,135.908,6.46027,6.46026,0.012207,0.762894,1,0.00586701,3.16796,
12.7211,135.908,4.65276,4.65242,0.0564575,0.713555,1,0.0023843,2.87319,
17.0048,135.908,4.22945,4.22786,0.115967,0.715327,1,0.00118432,2.7988,
21.2884,135.908,5.38555,5.38553,0.0152588,0.764444,1,0.00312305,3.66872,
25.572,135.908,6.8284,6.6711,1.45721,0.712293,1,0.00396951,3.82201,
29.8557,135.908,8.58009,8.49736,1.18866,0.746538,1,0.000710293,4.10072,
34.1393,135.908,10.3855,10.3192,1.17188,0.789819,1,-0.000596106,4.34012,
38.423,135.908,12.0108,11.9931,0.65155,0.780454,1,-0.000221109,4.10191,
42.7066,135.908,13.22,13.2195,-0.112915,0.805231,1,-0.00087187,3.70852,
46.9902,135.908,13.6529,13.6359,-0.682068,0.828321,1,-0.000581738,4.00193,
51.2739,135.908,13.5044,13.4721,-0.932312,0.817631,1,-0.000718992,3.80145,
55.5575,135.908,13.8444,13.8026,-1.07574,0.835935,1,-0.000117519,2.77656,
59.8411,135.908,13.9956,13.915,-1.49994,0.873646,1,0.000576981,3.89169,
64.1248,135.908,14.7475,14.6366,-1.80511,0.836818,1,0.00251435,3.60026,
68.4084,135.908,16.6261,16.5418,-1.67236,0.77684,1,0.00399723,3.29713,
72.6921,135.908,17.1572,17.0548,-1.87225,0.807526,1,0.00387188,4.03607,
76.9757,135.908,17.194,17.0683,-2.0752,0.772108,1,0.00203035,4.62417,
81.2593,135.908,16.4867,16.3292,-2.27356,0.828644,1,0.000590509,4.41901,
85.543,135.908,17.0684,16.9111,-2.31171,0.836644,1,0.00116021,3.4194,
89.8266,135.908,18.7965,18.6087,-2.65045,0.775218,1,0.00177851,4.00987,
94.1103,135.908,18.7261,18.3649,-3.66058,0.745822,1,-0.000753509,3.18716,
