"shape_cn","shape_en","speed_level","sequence","source_dir","source_csv","packaged_csv"
"圆","circle","10","1","圆-10转速-第1组","1.csv","circle_圆_speed10_seq1_frame1.csv"
"圆","circle","10","1","圆-10转速-第1组","150.csv","circle_圆_speed10_seq1_frame150.csv"
"三角","triangle","10","1","三角-10转速-第1组","1.csv","triangle_三角_speed10_seq1_frame1.csv"
"三角","triangle","10","1","三角-10转速-第1组","150.csv","triangle_三角_speed10_seq1_frame150.csv"
"机翼","airfoil","10","1","机翼-10转速-第1组","1.csv","airfoil_机翼_speed10_seq1_frame1.csv"
"机翼","airfoil","10","1","机翼-10转速-第1组","150.csv","airfoil_机翼_speed10_seq1_frame150.csv"
"菱形","diamond","10","1","菱形-10转速-第1组","1.csv","diamond_菱形_speed10_seq1_frame1.csv"
"菱形","diamond","10","1","菱形-10转速-第1组","150.csv","diamond_菱形_speed10_seq1_frame150.csv"
"长方","bar","10","1","长方-10转速-第1组","1.csv","bar_长方_speed10_seq1_frame1.csv"
"长方","bar","10","1","长方-10转速-第1组","150.csv","bar_长方_speed10_seq1_frame150.csv"
