TITLE = "150.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
4.15383,135.908,3.67664,3.33238,1.55334,0.818418,1,-0.00102019,4.00233,
8.43747,135.908,3.44499,3.06088,1.58081,0.765665,1,0.000156331,3.57609,
12.7211,135.908,4.2717,4.16388,0.953674,0.764094,1,0.00201138,4.69229,
17.0048,135.908,4.75605,4.75398,0.140381,0.771358,1,0.00344449,4.35401,
21.2884,135.908,7.2603,7.25343,-0.315857,0.754148,1,0.00736116,4.30529,
25.572,135.908,9.90667,9.78194,-1.56708,0.770642,1,0.0100155,4.34761,
29.8557,135.908,10.9588,10.5979,-2.78931,0.747763,1,0.00551324,3.67316,
34.1393,135.908,12.439,11.2879,-5.22614,0.702203,1,0.00478606,3.33808,
38.423,135.908,13.9566,10.5355,-9.15375,0.765546,1,0.00627292,4.24934,
42.7066,135.908,14.9957,10.9535,-10.2417,0.793632,1,0.00330565,4.07632,
46.9902,135.908,16.2984,12.3357,-10.6522,0.800563,1,0.00403452,4.29859,
51.2739,135.908,16.0136,12.1934,-10.3806,0.814763,1,0.00273788,3.73789,
55.5575,135.908,13.8562,11.0162,-8.40454,0.738539,1,-0.000992152,3.55746,
59.8411,135.908,12.891,11.7404,-5.32379,0.699791,1,-0.000156933,3.79445,
64.1248,135.908,11.5784,11.1936,-2.96021,0.736428,1,0.00109076,3.47605,
68.4084,135.908,11.0557,10.9004,-1.84631,0.782928,1,0.00284813,4.38106,
72.6921,135.908,9.85092,9.79531,-1.04523,0.765089,1,0.00569646,4.00163,
76.9757,135.908,5.5073,5.45693,-0.743103,0.679074,1,0.00679418,3.10021,
81.2593,135.908,1.48374,1.44383,-0.341797,0.741599,1,0.00175153,3.94377,
85.543,135.908,0.847735,0.824566,0.196838,0.792739,1,0.000447756,4.81936,
89.8266,135.908,1.94588,1.84918,0.605774,0.723925,1,0.000677391,3.85268,
94.1103,135.908,1.56284,1.47741,0.509644,0.696795,1,0.000745584,4.28739,
98.3939,135.908,0.951138,0.843531,0.439453,0.810294,1,0.0010335,5.02266,
102.678,135.908,0.732311,0.642738,0.350952,0.870398,1,0.000824545,4.05643,
106.961,135.908,0.686917,0.686808,0.012207,0.829535,1,0.000976618,4.32574,
111.245,135.908,1.29634,1.20575,-0.476074,0.832556,1,0.00111836,4.87497,
115.528,135.908,1.39021,1.26141,-0.584412,0.818557,1,0.00014456,4.33976,
119.812,135.908,0.440332,0.388366,-0.20752,0.730837,1,-0.00101134,3.65597,
124.096,135.908,0.519298,0.51622,-0.0564575,0.761442,1,-0.0011315,4.65789,
128.379,135.908,0.350714,0.317952,0.14801,0.857307,1,-0.000619724,4.82642,
132.663,135.908,0.383376,0.374749,0.0808716,0.883189,1,0.00022782,5.18044,
136.947,135.908,0.690662,0.667596,0.177002,0.865395,1,3.56449e-05,4.95709,
141.23,135.908,0.71568,0.383513,0.604248,0.850142,1,-0.000849181,4.54064,
145.514,135.908,1.00652,-0.321864,0.953674,0.841348,1,-0.00120776,4.69922,
149.798,135.908,0.953518,-0.394184,0.868225,0.863953,1,-4.26894e-05,4.83351,
154.081,135.908,0.882815,0.167914,0.866699,0.875844,1,0.000854269,4.64517,
158.365,135.908,1.60669,0.489035,1.53046,0.808379,1,0.00122296,4.62996,
