2026-03-03 00:18:34,374 | INFO | audit | Permutation 1/30 done. iou=0.3395
2026-03-03 00:18:35,411 | INFO | audit | Permutation 2/30 done. iou=0.3230
2026-03-03 00:18:36,427 | INFO | audit | Permutation 3/30 done. iou=0.3816
2026-03-03 00:18:37,445 | INFO | audit | Permutation 4/30 done. iou=0.3442
2026-03-03 00:18:38,432 | INFO | audit | Permutation 5/30 done. iou=0.4188
2026-03-03 00:18:39,470 | INFO | audit | Permutation 6/30 done. iou=0.3838
2026-03-03 00:18:40,444 | INFO | audit | Permutation 7/30 done. iou=0.3496
2026-03-03 00:18:41,425 | INFO | audit | Permutation 8/30 done. iou=0.4144
2026-03-03 00:18:42,378 | INFO | audit | Permutation 9/30 done. iou=0.3803
2026-03-03 00:18:43,324 | INFO | audit | Permutation 10/30 done. iou=0.3183
2026-03-03 00:18:44,261 | INFO | audit | Permutation 11/30 done. iou=0.4291
2026-03-03 00:18:45,149 | INFO | audit | Permutation 12/30 done. iou=0.4042
2026-03-03 00:18:46,119 | INFO | audit | Permutation 13/30 done. iou=0.3418
2026-03-03 00:18:47,087 | INFO | audit | Permutation 14/30 done. iou=0.3937
2026-03-03 00:18:48,024 | INFO | audit | Permutation 15/30 done. iou=0.3361
2026-03-03 00:18:48,968 | INFO | audit | Permutation 16/30 done. iou=0.3717
2026-03-03 00:18:49,904 | INFO | audit | Permutation 17/30 done. iou=0.3470
2026-03-03 00:18:50,853 | INFO | audit | Permutation 18/30 done. iou=0.3617
2026-03-03 00:18:51,770 | INFO | audit | Permutation 19/30 done. iou=0.4008
2026-03-03 00:18:52,711 | INFO | audit | Permutation 20/30 done. iou=0.3655
2026-03-03 00:18:53,650 | INFO | audit | Permutation 21/30 done. iou=0.3388
2026-03-03 00:18:54,620 | INFO | audit | Permutation 22/30 done. iou=0.4164
2026-03-03 00:18:55,588 | INFO | audit | Permutation 23/30 done. iou=0.3453
2026-03-03 00:18:56,550 | INFO | audit | Permutation 24/30 done. iou=0.3782
2026-03-03 00:18:57,495 | INFO | audit | Permutation 25/30 done. iou=0.3966
2026-03-03 00:18:58,420 | INFO | audit | Permutation 26/30 done. iou=0.4143
2026-03-03 00:18:59,370 | INFO | audit | Permutation 27/30 done. iou=0.3957
2026-03-03 00:19:00,374 | INFO | audit | Permutation 28/30 done. iou=0.3517
2026-03-03 00:19:01,314 | INFO | audit | Permutation 29/30 done. iou=0.3948
2026-03-03 00:19:02,275 | INFO | audit | Permutation 30/30 done. iou=0.3223
2026-03-03 00:19:02,493 | INFO | audit | Pattern audit done. obs_iou=0.9382 null_iou_mean=0.3720 p=0.032258 report=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/reports/pattern_audit.md
2026-03-03 00:19:31,424 | INFO | audit | Permutation 1/120 done. iou=0.3395
2026-03-03 00:19:32,481 | INFO | audit | Permutation 2/120 done. iou=0.3230
2026-03-03 00:19:33,534 | INFO | audit | Permutation 3/120 done. iou=0.3816
2026-03-03 00:19:34,614 | INFO | audit | Permutation 4/120 done. iou=0.3442
2026-03-03 00:19:35,640 | INFO | audit | Permutation 5/120 done. iou=0.4188
2026-03-03 00:19:36,687 | INFO | audit | Permutation 6/120 done. iou=0.3838
2026-03-03 00:19:37,729 | INFO | audit | Permutation 7/120 done. iou=0.3496
2026-03-03 00:19:38,737 | INFO | audit | Permutation 8/120 done. iou=0.4144
2026-03-03 00:19:39,723 | INFO | audit | Permutation 9/120 done. iou=0.3803
2026-03-03 00:19:40,770 | INFO | audit | Permutation 10/120 done. iou=0.3183
2026-03-03 00:19:41,729 | INFO | audit | Permutation 11/120 done. iou=0.4291
2026-03-03 00:19:42,725 | INFO | audit | Permutation 12/120 done. iou=0.4042
2026-03-03 00:19:43,689 | INFO | audit | Permutation 13/120 done. iou=0.3418
2026-03-03 00:19:44,665 | INFO | audit | Permutation 14/120 done. iou=0.3937
2026-03-03 00:19:45,608 | INFO | audit | Permutation 15/120 done. iou=0.3361
2026-03-03 00:19:46,772 | INFO | audit | Permutation 16/120 done. iou=0.3717
2026-03-03 00:19:47,766 | INFO | audit | Permutation 17/120 done. iou=0.3470
2026-03-03 00:19:48,769 | INFO | audit | Permutation 18/120 done. iou=0.3617
2026-03-03 00:19:49,774 | INFO | audit | Permutation 19/120 done. iou=0.4008
2026-03-03 00:19:50,817 | INFO | audit | Permutation 20/120 done. iou=0.3655
2026-03-03 00:19:51,770 | INFO | audit | Permutation 21/120 done. iou=0.3388
2026-03-03 00:19:52,773 | INFO | audit | Permutation 22/120 done. iou=0.4164
2026-03-03 00:19:53,758 | INFO | audit | Permutation 23/120 done. iou=0.3453
2026-03-03 00:19:54,741 | INFO | audit | Permutation 24/120 done. iou=0.3782
2026-03-03 00:19:55,698 | INFO | audit | Permutation 25/120 done. iou=0.3966
2026-03-03 00:19:56,682 | INFO | audit | Permutation 26/120 done. iou=0.4143
2026-03-03 00:19:57,652 | INFO | audit | Permutation 27/120 done. iou=0.3957
2026-03-03 00:19:58,625 | INFO | audit | Permutation 28/120 done. iou=0.3517
2026-03-03 00:19:59,631 | INFO | audit | Permutation 29/120 done. iou=0.3948
2026-03-03 00:20:00,622 | INFO | audit | Permutation 30/120 done. iou=0.3223
2026-03-03 00:20:01,590 | INFO | audit | Permutation 31/120 done. iou=0.3653
2026-03-03 00:20:02,563 | INFO | audit | Permutation 32/120 done. iou=0.3841
2026-03-03 00:20:03,514 | INFO | audit | Permutation 33/120 done. iou=0.3621
2026-03-03 00:20:04,511 | INFO | audit | Permutation 34/120 done. iou=0.4030
2026-03-03 00:20:05,478 | INFO | audit | Permutation 35/120 done. iou=0.3498
2026-03-03 00:20:06,435 | INFO | audit | Permutation 36/120 done. iou=0.3647
2026-03-03 00:20:07,402 | INFO | audit | Permutation 37/120 done. iou=0.4285
2026-03-03 00:20:08,339 | INFO | audit | Permutation 38/120 done. iou=0.4048
2026-03-03 00:20:09,286 | INFO | audit | Permutation 39/120 done. iou=0.3395
2026-03-03 00:20:10,248 | INFO | audit | Permutation 40/120 done. iou=0.3861
2026-03-03 00:20:11,248 | INFO | audit | Permutation 41/120 done. iou=0.3497
2026-03-03 00:20:12,216 | INFO | audit | Permutation 42/120 done. iou=0.3999
2026-03-03 00:20:13,220 | INFO | audit | Permutation 43/120 done. iou=0.3374
2026-03-03 00:20:14,195 | INFO | audit | Permutation 44/120 done. iou=0.3642
2026-03-03 00:20:15,143 | INFO | audit | Permutation 45/120 done. iou=0.3693
2026-03-03 00:20:16,117 | INFO | audit | Permutation 46/120 done. iou=0.3655
2026-03-03 00:20:17,119 | INFO | audit | Permutation 47/120 done. iou=0.4009
2026-03-03 00:20:18,099 | INFO | audit | Permutation 48/120 done. iou=0.3556
2026-03-03 00:20:19,080 | INFO | audit | Permutation 49/120 done. iou=0.4363
2026-03-03 00:20:20,068 | INFO | audit | Permutation 50/120 done. iou=0.3313
2026-03-03 00:20:21,016 | INFO | audit | Permutation 51/120 done. iou=0.3702
2026-03-03 00:20:21,985 | INFO | audit | Permutation 52/120 done. iou=0.3424
2026-03-03 00:20:22,973 | INFO | audit | Permutation 53/120 done. iou=0.3727
2026-03-03 00:20:23,938 | INFO | audit | Permutation 54/120 done. iou=0.3944
2026-03-03 00:20:24,875 | INFO | audit | Permutation 55/120 done. iou=0.3653
2026-03-03 00:20:25,809 | INFO | audit | Permutation 56/120 done. iou=0.3840
2026-03-03 00:20:26,745 | INFO | audit | Permutation 57/120 done. iou=0.3404
2026-03-03 00:20:27,720 | INFO | audit | Permutation 58/120 done. iou=0.3265
2026-03-03 00:20:28,740 | INFO | audit | Permutation 59/120 done. iou=0.3574
2026-03-03 00:20:29,687 | INFO | audit | Permutation 60/120 done. iou=0.3770
2026-03-03 00:20:30,638 | INFO | audit | Permutation 61/120 done. iou=0.3398
2026-03-03 00:20:31,568 | INFO | audit | Permutation 62/120 done. iou=0.3456
2026-03-03 00:20:32,495 | INFO | audit | Permutation 63/120 done. iou=0.3527
2026-03-03 00:20:33,436 | INFO | audit | Permutation 64/120 done. iou=0.3198
2026-03-03 00:20:34,422 | INFO | audit | Permutation 65/120 done. iou=0.4344
2026-03-03 00:20:35,395 | INFO | audit | Permutation 66/120 done. iou=0.3691
2026-03-03 00:20:36,346 | INFO | audit | Permutation 67/120 done. iou=0.2986
