2026-03-02 19:05:16,356 | INFO | reconstruct | Reconstruction done. mse=0.000568 iou=0.7171 dice=0.8293 model=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/models/reconstructor.pkl
2026-03-02 19:06:02,582 | INFO | reconstruct | Reconstruction done. mse=0.000559 iou=0.7302 dice=0.8399 model=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/models/reconstructor.pkl
2026-03-02 23:38:52,352 | INFO | reconstruct | Selected best reconstruction method: parametric_inverse
2026-03-02 23:38:57,322 | INFO | reconstruct | Reconstruction done. method=parametric_inverse mse=0.000255 iou=0.9671 dice=0.9826 model=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/models/reconstructor.pkl
2026-03-02 23:39:57,825 | INFO | reconstruct | Selected best reconstruction method: parametric_inverse
2026-03-02 23:40:02,577 | INFO | reconstruct | Reconstruction done. method=parametric_inverse mse=0.000255 iou=0.9671 dice=0.9826 model=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/models/reconstructor.pkl
2026-03-02 23:56:07,248 | INFO | reconstruct | Selected best reconstruction method: parametric_inverse
2026-03-02 23:56:15,267 | INFO | reconstruct | Reconstruction done. method=parametric_inverse mse=0.000246 iou=0.9404 dice=0.9628 model=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/models/reconstructor.pkl
2026-03-03 00:11:43,393 | INFO | reconstruct | Selected best reconstruction method: parametric_inverse
2026-03-03 00:11:52,351 | INFO | reconstruct | Reconstruction done. method=parametric_inverse mse=0.000246 iou=0.9404 dice=0.9628 miou3=0.9740 model=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/models/reconstructor.pkl
2026-03-03 00:14:08,953 | INFO | reconstruct | Selected best reconstruction method: parametric_inverse
2026-03-03 00:14:17,697 | INFO | reconstruct | Reconstruction done. method=parametric_inverse mse=0.000246 iou=0.9404 dice=0.9628 miou3=0.9740 model=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/models/reconstructor.pkl
2026-03-03 00:28:07,711 | INFO | reconstruct | Selected best reconstruction method: parametric_inverse
2026-03-03 00:28:18,589 | INFO | reconstruct | Reconstruction done. method=parametric_inverse mse=0.000178 iou=0.9463 dice=0.9685 miou3=0.9763 model=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/models/reconstructor.pkl
