2026-04-23 11:12:17,305 | INFO | train_wake | Training wake-field variant full_only_4ch
2026-04-23 11:12:25,325 | INFO | train_wake | Variant full_only_4ch seed=40 done. acc=0.9444 macro_f1=0.9440 dy_mae=0.03476 eps_mae=0.05227
2026-04-23 11:12:30,722 | INFO | train_wake | Variant full_only_4ch seed=41 done. acc=0.8222 macro_f1=0.8114 dy_mae=0.03639 eps_mae=0.05691
2026-04-23 11:12:37,045 | INFO | train_wake | Variant full_only_4ch seed=42 done. acc=0.9556 macro_f1=0.9557 dy_mae=0.03660 eps_mae=0.05889
2026-04-23 11:12:43,128 | INFO | train_wake | Variant full_only_4ch seed=43 done. acc=0.9000 macro_f1=0.9014 dy_mae=0.03972 eps_mae=0.05243
2026-04-23 11:12:49,384 | INFO | train_wake | Variant full_only_4ch seed=44 done. acc=0.9667 macro_f1=0.9663 dy_mae=0.05018 eps_mae=0.04581
2026-04-23 11:12:49,384 | INFO | train_wake | Training wake-field variant full_half_quarter_4ch
2026-04-23 11:12:59,190 | INFO | train_wake | Variant full_half_quarter_4ch seed=40 done. acc=0.8889 macro_f1=0.8926 dy_mae=0.03828 eps_mae=0.03995
2026-04-23 11:13:09,473 | INFO | train_wake | Variant full_half_quarter_4ch seed=41 done. acc=0.8333 macro_f1=0.8349 dy_mae=0.04327 eps_mae=0.05759
2026-04-23 11:13:19,939 | INFO | train_wake | Variant full_half_quarter_4ch seed=42 done. acc=0.7222 macro_f1=0.6889 dy_mae=0.04138 eps_mae=0.05055
2026-04-23 11:13:29,307 | INFO | train_wake | Variant full_half_quarter_4ch seed=43 done. acc=0.8222 macro_f1=0.8066 dy_mae=0.04864 eps_mae=0.04736
2026-04-23 11:13:39,757 | INFO | train_wake | Variant full_half_quarter_4ch seed=44 done. acc=0.8111 macro_f1=0.8040 dy_mae=0.04493 eps_mae=0.05420
2026-04-23 11:13:39,758 | INFO | train_wake | Training wake-field variant full_half_quarter_hotspot_4ch
