model,seed,train_size,test_size,accuracy,macro_f1
rf,40,36,9,1.0,1.0
rf,41,36,9,0.8888888888888888,0.8857142857142857
rf,42,36,9,1.0,1.0
rf,43,36,9,0.8888888888888888,0.8857142857142857
rf,44,36,9,1.0,1.0
extratrees,40,36,9,0.8888888888888888,0.8857142857142857
extratrees,41,36,9,1.0,1.0
extratrees,42,36,9,1.0,1.0
extratrees,43,36,9,0.8888888888888888,0.8857142857142857
extratrees,44,36,9,0.8888888888888888,0.8857142857142857
svc_rbf,40,36,9,0.8888888888888888,0.8857142857142857
svc_rbf,41,36,9,1.0,1.0
svc_rbf,42,36,9,1.0,1.0
svc_rbf,43,36,9,0.8888888888888888,0.8857142857142857
svc_rbf,44,36,9,1.0,1.0
hard_vote_ensemble,40,36,9,1.0,1.0
hard_vote_ensemble,41,36,9,1.0,1.0
hard_vote_ensemble,42,36,9,1.0,1.0
hard_vote_ensemble,43,36,9,0.8888888888888888,0.8857142857142857
hard_vote_ensemble,44,36,9,1.0,1.0
